"location","target","score","forecast_week","competition_week","skill","model"
"HHS Region 2","4 wk ahead",-2.15438354944865,1,11,0.115974661225421,"."
"HHS Region 3","4 wk ahead",-2.3737219440652,1,11,0.0931334429291827,"."
"HHS Region 4","4 wk ahead",-2.18657337920572,1,11,0.112300902674624,"."
"HHS Region 5","4 wk ahead",-1.97967669290765,1,11,0.138113883291342,"."
"HHS Region 6","4 wk ahead",-2.50907546629385,1,11,0.0813434092105406,"."
"HHS Region 7","4 wk ahead",-2.70260638990986,1,11,0.0670305770438062,"."
"HHS Region 8","4 wk ahead",-2.01298568479559,1,11,0.133589223334689,"."
"HHS Region 9","4 wk ahead",-1.64754522226633,1,11,0.192521927573968,"."
"HHS Region 10","4 wk ahead",-2.39432096605373,1,11,0.0912346092905903,"."
"HHS Region 1","Season onset",-2.42774823594805,2,12,0.0882352941176471,"."
