date,hhs,flu,cough,fever,influenza,cold,isPartial,st_fips,cty_fips,pops,hhs_pops,hhs_pops_wt,nat_pops_wt,nat_pops
2015-06-14,55,3.6677960607413653,6.144059907215514,10.867234021755499,0.5096030799987704,27.79503368478878,0.0,1477,93501788,311368436,311368436.0,10.0,1.0000000000000002,41022287.678609915
2015-06-21,55,3.321016482223008,5.917499723703529,11.362000222141976,0.28615891239534635,27.589461768693855,0.0,1477,93501788,311368436,311368436.0,10.0,1.0000000000000002,41022287.678609915
2015-06-28,55,3.1123434907191423,5.789088936426427,10.748956451706619,0.14257968974093443,28.27447340873049,0.0,1477,93501788,311368436,311368436.0,10.0,1.0000000000000002,41022287.678609915
2015-07-05,55,3.0112786640968316,5.773315934310053,10.893246957119315,0.3054538964251341,27.20307130296277,0.0,1477,93501788,311368436,311368436.0,10.0,1.0000000000000002,41022287.678609915
2015-07-12,55,2.9133976605130267,5.604471967094314,10.784123333554595,0.3887028003056803,28.13983767770218,0.0,1477,93501788,311368436,311368436.0,10.0,1.0000000000000002,41022287.678609915
2015-07-19,55,3.112304161106426,5.583035051118667,10.649709738080196,0.46236220937950173,28.6689503588604,0.0,1477,93501788,311368436,311368436.0,10.0,1.0000000000000002,41022287.678609915
2015-07-26,55,3.152849211729348,5.466224405610593,10.626290479231493,0.32926932902087735,28.22007733307945,0.0,1477,93501788,311368436,311368436.0,10.0,1.0000000000000002,41022287.678609915
2015-08-02,55,3.1388080293405203,5.181361247547905,11.361346013248433,0.1846894236896896,28.46571644147,0.0,1477,93501788,311368436,311368436.0,10.0,1.0000000000000002,41022287.678609915
2015-08-09,55,3.325495012603011,5.472248384868401,11.276179985051536,0.16829040436198867,28.130842681176585,0.0,1477,93501788,311368436,311368436.0,10.0,1.0000000000000002,41022287.678609915
2015-08-16,55,3.5906876251258812,5.8716390829030605,11.204591084499008,0.49526400293188355,27.887466756585436,0.0,1477,93501788,311368436,311368436.0,10.0,1.0000000000000002,41022287.678609915
2015-08-23,55,4.249195483642408,5.922844764521988,11.074126900261657,0.6503843697246178,28.60442745070024,0.0,1477,93501788,311368436,311368436.0,10.0,1.0000000000000002,41022287.678609915
2015-08-30,55,4.993586739151684,6.130725264008457,10.804513971351934,0.6810424034117576,28.42450154453035,0.0,1477,93501788,311368436,311368436.0,10.0,1.0000000000000002,41022287.678609915
2015-09-06,55,6.150840321528286,6.5687888222555735,11.128767201053094,0.7346462760920313,30.812151081363943,0.0,1477,93501788,311368436,311368436.0,10.0,1.0000000000000002,41022287.678609915
2015-09-13,55,8.171063180598049,6.8096961343891635,11.245345575105114,0.9514120243067927,29.988634920592915,0.0,1477,93501788,311368436,311368436.0,10.0,1.0000000000000002,41022287.678609915
2015-09-20,55,10.327642731904914,7.375332697499241,11.480602764115755,1.0382269511736895,30.85683321799516,0.0,1477,93501788,311368436,311368436.0,10.0,1.0000000000000002,41022287.678609915
2015-09-27,55,12.689128242273084,7.233793363692137,11.03358148351299,1.1111562798227883,31.71600237282882,0.0,1477,93501788,311368436,311368436.0,10.0,1.0000000000000002,41022287.678609915
2015-10-04,55,15.729760938260291,7.667937279294425,11.636882670406582,1.0973591941091936,32.025540434034234,0.0,1477,93501788,311368436,311368436.0,10.0,1.0000000000000002,41022287.678609915
2015-10-11,55,14.307329658167406,8.093874878184506,11.772121314184846,1.0713722119219562,32.99429833022638,0.0,1477,93501788,311368436,311368436.0,10.0,1.0000000000000002,41022287.678609915
2015-10-18,55,15.03683101648749,8.536382695515096,11.745834413993073,1.0636158444782116,35.48032084408196,0.0,1477,93501788,311368436,311368436.0,10.0,1.0000000000000002,41022287.678609915
