date,flu,cough,fever,influenza,cold,isPartial,state
2016-02-21,14,12,13,2,56,False,Alaska
2016-02-28,13,10,8,5,41,False,Alaska
2016-03-06,9,14,15,0,57,False,Alaska
2016-03-13,11,11,16,2,48,False,Alaska
2016-03-20,6,12,15,4,40,False,Alaska
2016-03-27,11,11,11,4,45,False,Alaska
2016-04-03,16,11,13,2,53,False,Alaska
2016-04-10,13,8,19,2,50,False,Alaska
2016-04-17,13,5,17,4,44,False,Alaska
2016-04-24,10,9,14,3,40,False,Alaska
2016-05-01,8,11,10,2,47,False,Alaska
2016-05-08,6,6,17,0,48,False,Alaska
2016-05-15,6,9,11,2,43,False,Alaska
2016-05-22,5,8,10,0,30,False,Alaska
2016-05-29,4,9,13,2,50,False,Alaska
2016-06-05,4,7,7,0,42,False,Alaska
2016-06-12,2,6,13,2,49,False,Alaska
2016-06-19,2,6,10,0,49,False,Alaska
2016-06-26,5,8,12,2,33,False,Alaska
2016-07-03,4,7,6,0,27,False,Alaska
2016-07-10,2,5,2,2,36,False,Alaska
2016-07-17,2,10,12,2,49,False,Alaska
2016-07-24,4,7,12,2,38,False,Alaska
2016-07-31,5,6,10,0,40,False,Alaska
2016-08-07,4,4,12,0,38,False,Alaska
2016-08-14,5,6,10,2,41,False,Alaska
2016-08-21,5,10,14,0,35,False,Alaska
2016-08-28,7,7,15,2,42,False,Alaska
2016-09-04,8,11,11,0,55,False,Alaska
2016-09-11,4,4,10,0,37,False,Alaska
2016-09-18,12,6,10,0,58,False,Alaska
2016-09-25,17,5,12,4,43,False,Alaska
2016-10-02,13,8,6,3,45,False,Alaska
2016-10-09,13,13,5,2,67,False,Alaska
2016-10-16,14,9,9,2,60,False,Alaska
2016-10-23,10,12,13,2,60,False,Alaska
2016-10-30,14,12,6,3,35,False,Alaska
2016-11-06,7,6,8,0,51,False,Alaska
2016-11-13,9,10,17,0,68,False,Alaska
2016-11-20,6,10,8,0,69,False,Alaska
2016-11-27,15,11,15,2,80,False,Alaska
2016-12-04,12,6,12,2,75,False,Alaska
2016-12-11,12,15,15,2,61,False,Alaska
2016-12-18,9,16,22,2,63,False,Alaska
2016-12-25,20,6,12,0,49,False,Alaska
2017-01-01,9,12,10,2,66,False,Alaska
2017-01-08,14,10,9,4,58,False,Alaska
2017-01-15,10,10,10,3,96,False,Alaska
2017-01-22,8,14,12,3,52,False,Alaska
2017-01-29,13,8,13,0,48,False,Alaska
2017-02-05,13,13,18,3,61,False,Alaska
2017-02-12,8,8,17,2,68,False,Alaska
2017-02-19,6,9,18,3,57,False,Alaska
2017-02-26,16,10,14,2,57,False,Alaska
2017-03-05,7,9,14,2,60,False,Alaska
2017-03-12,8,5,12,3,46,False,Alaska
2017-03-19,8,13,17,0,51,False,Alaska
2017-03-26,7,8,7,2,60,False,Alaska
2017-04-02,9,12,15,0,54,False,Alaska
2017-04-09,9,13,11,0,33,False,Alaska
2017-04-16,8,9,11,5,48,False,Alaska
2017-04-23,8,5,13,0,50,False,Alaska
2017-04-30,5,8,14,3,56,False,Alaska
2017-05-07,5,12,14,2,45,False,Alaska
2017-05-14,6,8,19,2,51,False,Alaska
2017-05-21,5,11,7,2,59,False,Alaska
2017-05-28,9,17,16,0,63,False,Alaska
2017-06-04,7,8,11,2,44,False,Alaska
